1930,0,0,0,0,0,0,0.94150293,0.40187162,1.26443732,0.71513164,0.6035493,1.23175275,0.64908332,1.09813535,0.7207247,1.40347099,0,0,0,0,0,0,1,53:03.0,0,0,,,,,,,,,,,,,,,,,,
1931,0,0,0,0,0,0,0.98570782,0.43548241,1.37566674,0.7660321,0.63901013,1.31846452,0.77058196,1.14721322,0.81348217,1.48975313,0,0,0,0,0,0,1,53:03.0,0,0,,,,,,,,,,,,,,,,,,
1932,0,0,0,0,0,0,1.01662266,0.47705817,1.37093544,0.77948576,0.65503627,1.3055557,0.68942404,1.15793502,0.7650519,1.4417479,0,0,0,0,0,0,1,53:03.0,0,0,,,,,,,,,,,,,,,,,,
1933,0,0,0,0,0,0,0.994937,0.44948775,1.3064183,0.74564576,0.64832616,1.2400142,0.63222295,1.15051103,0.70272088,1.39583433,0,0,0,0,0,0,1,53:03.0,0,0,,,,,,,,,,,,,,,,,,
1934,0,0,0,0,0,0,1.02691889,0.48970419,1.39707327,0.78964323,0.66032046,1.31767929,0.77957976,1.22098958,0.82129061,1.46619403,0,0,0,0,0,0,1,53:04.0,0,0,,,,,,,,,,,,,,,,,,
1935,0,0,0,0,0,0,1.07281888,0.51738793,1.3879112,0.79381055,0.70619494,1.31343043,0.6865623,1.22025084,0.77072847,1.46252835,0,0,0,0,0,0,1,53:04.0,0,0,,,,,,,,,,,,,,,,,,
1936,0,0,0,0,0,0,1.04774952,0.50580001,1.33374536,0.74145424,0.65716648,1.22729921,0.61565083,1.18768549,0.70337218,1.45726037,0,0,0,0,0,0,1,53:04.0,0,0,,,,,,,,,,,,,,,,,,
1937,0,0,0,0,0,0,1.06036139,0.49487716,1.38580525,0.74800587,0.68689245,1.28685343,0.71727967,1.19734383,0.80405617,1.45973694,0,0,0,0,0,0,1,53:04.0,0,0,,,,,,,,,,,,,,,,,,
1938,0,0,0,0,0,0,1.0765661,0.52335888,1.37328982,0.77474588,0.69318587,1.28028405,0.6984579,1.21635902,0.78462988,1.4566555,0,0,0,0,0,0,1,53:04.0,0,0,,,,,,,,,,,,,,,,,,
1939,0,0,0,0,0,0,1.04683137,0.49415258,1.31689537,0.73627687,0.66708767,1.2081306,0.63411283,1.16833937,0.72408468,1.39900732,0,0,0,0,0,0,1,53:05.0,0,0,,,,,,,,,,,,,,,,,,
1940,0,0,0,0,0,0,1.01030898,0.45728987,1.31848073,0.7203024,0.66444433,1.21598649,0.68743253,1.18487549,0.77015382,1.41583991,0,0,0,0,0,0,1,53:05.0,0,0,,,,,,,,,,,,,,,,,,
1941,0,0,0,0,0,0,1.02818823,0.48978245,1.31592965,0.75601536,0.69757688,1.25059068,0.69935572,1.15326428,0.7603476,1.26826811,0,0,0,0,0,0,1,53:05.0,0,0,,,,,,,,,,,,,,,,,,
1942,0,0,0,0,0,0,0.96935344,0.45718527,1.24509621,0.72251523,0.67539895,1.20265698,0.64026636,1.08784771,0.69085115,1.20324111,0,0,0,0,0,0,1,53:05.0,0,0,,,,,,,,,,,,,,,,,,
1943,0,0,0,0,0,0,0.860259,0.41367751,1.1914345,0.64795637,0.70027769,1.18653893,0.62247127,1.14688003,0.70010889,1.07005334,0,0,0,0,0,0,1,53:05.0,0,0,,,,,,,,,,,,,,,,,,
1944,0,0,0,0,0,0,1.00832272,0.42553464,1.28625298,0.72151595,0.70082515,1.21669006,0.70096147,1.17538023,0.7188068,1.23821056,0,0,0,0,0,0,1,53:06.0,0,0,,,,,,,,,,,,,,,,,,
1945,0,0,0,0,0,0,0.97832084,0.4012998,1.24704957,0.67627394,0.64955044,1.12996805,0.60644263,1.1255002,0.65498829,1.28897846,0,0,0,0,0,0,1,53:06.0,0,0,,,,,,,,,,,,,,,,,,
1946,0,0,0,0,0,0,0.90045035,0.35194251,1.16855276,0.61054748,0.56400996,0.99944061,0.49337238,1.06950009,0.58511353,1.38557947,0,0,0,0,0,0,1,53:06.0,0,0,,,,,,,,,,,,,,,,,,
1947,0,0,0,0,0,0,0.95338929,0.40438771,1.28735459,0.66122735,0.59537846,1.1022085,0.58259159,1.11763906,0.65818292,1.44503701,0,0,0,0,0,0,1,53:06.0,0,0,,,,,,,,,,,,,,,,,,
